,Age,Sex,Race,Marital status?,Education,Employement,Incomes,How many books did you read during last 12months?,Read any printed books during last 12months?,Read any audiobooks during last 12months?,Read any e-books during last 12months?,"Last book you read, you…",Do you happen to read any daily news or newspapers?,Do you happen to read any magazines or journals?
2224,53,Male,White,Married,"Some college, no 4-year degree",Employed full-time,"$50,000 to under $75,000",2,Yes,No,No,Borrowed the book from a friend or family member,No,Yes
2226,52,Female,White,Widowed,"Some college, no 4-year degree",Employed full-time,"$30,000 to under $40,000",2,No,No,Yes,Got the book some other way,Yes,No
2227,52,Male,White,Married,High school graduate,Employed full-time,"$50,000 to under $75,000",2,Yes,No,No,Got the book some other way,Yes,No
2228,52,Female,White,Married,High school graduate,Employed full-time,"$40,000 to under $50,000",2,Yes,No,Yes,Purchased the book,Yes,Yes
2230,51,Male,White,Divorced,"Some college, no 4-year degree",Employed full-time,"$50,000 to under $75,000",2,Yes,No,No,Borrowed the book from a library,Yes,Yes
2232,51,Male,White,Divorced,High school graduate,Retired,"$50,000 to under $75,000",2,Yes,No,No,Purchased the book,No,Yes
2234,48,Female,White,Never been married,"Some college, no 4-year degree",Employed full-time,"$30,000 to under $40,000",2,Yes,No,No,8,Yes,No
2235,47,Male,White,Married,"Some college, no 4-year degree",Employed full-time,"$75,000 to under $100,000",2,Yes,No,No,Borrowed the book from a friend or family member,Yes,No
2240,45,Female,White,Living with a partner,High school graduate,Employed full-time,"$40,000 to under $50,000",2,Yes,Yes,No,Purchased the book,Yes,Yes
2242,44,Female,White,Divorced,High school incomplete,Employed full-time,"$20,000 to under $30,000",2,Yes,No,No,Borrowed the book from a friend or family member,No,Yes
2244,43,Female,White,Divorced,"Some college, no 4-year degree",Employed part-time,"$30,000 to under $40,000",2,Yes,No,No,Borrowed the book from a friend or family member,Yes,No
2245,43,Male,White,Married,"Some college, no 4-year degree",Employed full-time,"$30,000 to under $40,000",2,Yes,No,No,Purchased the book,No,No
2247,42,Male,White,Never been married,High school graduate,Employed full-time,"$20,000 to under $30,000",2,No,No,No,8,Yes,No
2248,42,Male,White,Living with a partner,"Some college, no 4-year degree",Employed full-time,"$20,000 to under $30,000",2,Yes,No,No,Borrowed the book from a friend or family member,No,No
2250,39,Female,White,Living with a partner,"Some college, no 4-year degree",Employed full-time,"$100,000 to under $150,000",2,Yes,No,No,Got the book some other way,Yes,No
2251,39,Female,White,Married,"Some college, no 4-year degree",Employed full-time,"$100,000 to under $150,000",2,Yes,No,No,Purchased the book,No,Yes
2253,39,Male,White,Married,"Some college, no 4-year degree",Employed full-time,"$100,000 to under $150,000",2,Yes,No,No,Purchased the book,No,No
2254,37,Male,White,Never been married,"Some college, no 4-year degree",Employed part-time,"$50,000 to under $75,000",2,Yes,No,Yes,Purchased the book,Yes,No
2255,36,Male,White,Married,High school graduate,Disabled,Refused,2,Yes,No,No,Purchased the book,No,No
2257,35,Female,White,Separated,High school incomplete,Not employed for pay,"Less than $10,000",2,Yes,No,No,Borrowed the book from a friend or family member,No,Yes
2259,34,Female,White,Never been married,High school graduate,Employed full-time,"$10,000 to under $20,000",2,Yes,No,No,Purchased the book,No,Yes
2260,33,Female,White,Married,High school incomplete,Employed full-time,"$100,000 to under $150,000",2,Yes,No,No,Borrowed the book from a friend or family member,No,No
2261,32,Female,White,Married,High school graduate,Employed part-time,"$40,000 to under $50,000",2,Yes,No,No,Purchased the book,No,No
2263,32,Male,White,Married,"Some college, no 4-year degree",Employed full-time,"$50,000 to under $75,000",2,Yes,No,No,Got the book some other way,Yes,Yes
2265,31,Female,White,Married,High school graduate,Employed full-time,"$100,000 to under $150,000",2,Yes,No,No,Purchased the book,No,No
2269,28,Male,White,Living with a partner,High school graduate,Employed full-time,"$40,000 to under $50,000",2,Yes,No,No,Purchased the book,Don’t know,No
2273,27,Female,White,Married,"Some college, no 4-year degree",Not employed for pay,"$30,000 to under $40,000",2,Yes,No,No,Got the book some other way,No,No
2276,26,Male,White,Married,High school graduate,Employed full-time,"$50,000 to under $75,000",2,Yes,No,Yes,Purchased the book,Yes,No
2277,26,Female,White,Married,"Some college, no 4-year degree",Employed full-time,"$100,000 to under $150,000",2,No,No,Yes,Purchased the book,No,No
2281,25,Male,White,Never been married,"Some college, no 4-year degree",Employed full-time,"$20,000 to under $30,000",2,Yes,No,No,Purchased the book,No,Yes
2283,22,Female,White,Never been married,"Some college, no 4-year degree",Employed full-time,"$10,000 to under $20,000",2,Yes,No,No,Borrowed the book from a friend or family member,No,Yes
2284,22,Male,White,Married,"Some college, no 4-year degree",Employed full-time,"$75,000 to under $100,000",2,Yes,No,No,Borrowed the book from a friend or family member,No,No
2285,21,Female,White,Living with a partner,"Some college, no 4-year degree",Employed full-time,"$20,000 to under $30,000",2,Yes,No,No,Got the book some other way,Yes,No
2286,20,Male,White,Never been married,"Some college, no 4-year degree",Employed part-time,"$100,000 to under $150,000",2,No,No,No,Purchased the book,Yes,Yes
2287,19,Female,White,Never been married,"Some college, no 4-year degree",Employed part-time,"$75,000 to under $100,000",2,No,No,No,Got the book some other way,Yes,No
2288,18,Male,White,Living with a partner,High school graduate,Employed full-time,"$30,000 to under $40,000",2,Yes,No,No,Borrowed the book from a friend or family member,Yes,No
2289,18,Male,White,Never been married,High school graduate,Employed part-time,"Less than $10,000",2,Yes,No,No,Borrowed the book from a library,Yes,Yes
2290,17,Male,White,Never been married,High school incomplete,Not employed for pay,"$30,000 to under $40,000",2,Yes,No,No,Got the book some other way,Yes,No
2291,17,Male,White,Never been married,High school incomplete,Employed part-time,"9$100,000 to under $150,000",2,Yes,No,No,Borrowed the book from a library,Yes,Yes
2292,17,Female,White,Never been married,High school incomplete,Not employed for pay,"$100,000 to under $150,000",2,Yes,No,No,Borrowed the book from a friend or family member,Yes,No
2293,70,Male,Refused,Married,"Some college, no 4-year degree",Retired,"$50,000 to under $75,000",1,Yes,No,No,Purchased the book,Yes,No
2294,31,Female,Don’t know,Divorced,High school graduate,Not employed for pay,"$20,000 to under $30,000",1,Yes,No,No,Got the book some other way,No,Yes
2295,53,Male,Native American/American Indian,Married,High school graduate,Employed full-time,"$20,000 to under $30,000",1,No,No,No,Borrowed the book from a friend or family member,No,Yes
2296,41,Male,Native American/American Indian,Married,High school graduate,Employed full-time,"$30,000 to under $40,000",1,Don’t know,No,No,Purchased the book,Yes,No
2297,66,Female,Mixed race,Don’t know,"Some college, no 4-year degree",Retired,Refused,1,Yes,No,No,Purchased the book,Yes,Yes
2299,62,Male,Mixed race,Married,"Some college, no 4-year degree",Employed full-time,"$75,000 to under $100,000",1,Yes,No,No,Purchased the book,No,No
2301,45,Female,Mixed race,Divorced,"Some college, no 4-year degree",Employed full-time,Refused,1,Yes,No,No,Purchased the book,Yes,No
2303,39,Female,Mixed race,Separated,High school incomplete,Not employed for pay,"$20,000 to under $30,000",1,Yes,No,No,Borrowed the book from a friend or family member,No,No
2306,49,Male,Asian or Pacific Islander,Married,High school graduate,Have own business/self-employed,"$50,000 to under $75,000",1,Yes,No,No,Got the book some other way,Yes,No
2309,78,Female,Black or African-American,Married,High school incomplete,Retired,"$10,000 to under $20,000",1,Yes,No,No,Purchased the book,Yes,No
2311,65,Female,Black or African-American,Married,High school graduate,Disabled,"9$100,000 to under $150,000",1,Yes,No,No,8,Yes,No
2313,58,Female,Black or African-American,Never been married,High school incomplete,Employed full-time,"$10,000 to under $20,000",1,Yes,No,No,Purchased the book,No,No
2315,55,Female,Black or African-American,Married,High school graduate,Employed full-time,"$50,000 to under $75,000",1,Yes,No,No,Purchased the book,No,No
2316,54,Male,Black or African-American,Never been married,High school graduate,Employed part-time,"$10,000 to under $20,000",1,Yes,No,No,Got the book some other way,Yes,No
2317,51,Male,Black or African-American,Married,High school graduate,Employed full-time,Refused,1,No,Yes,Yes,Got the book some other way,Yes,No
2318,50,Male,Black or African-American,Never been married,High school graduate,Employed full-time,"$10,000 to under $20,000",1,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
2319,41,Male,Black or African-American,Never been married,High school graduate,Employed full-time,"$40,000 to under $50,000",1,Yes,No,No,Borrowed the book from a friend or family member,Yes,No
2322,34,Female,Black or African-American,Never been married,"Some college, no 4-year degree",Not employed for pay,"$20,000 to under $30,000",1,Yes,No,No,Got the book some other way,No,No
2323,31,Female,Black or African-American,Living with a partner,High school graduate,Employed full-time,"$20,000 to under $30,000",1,Yes,No,No,Borrowed the book from a friend or family member,No,Yes
2325,23,Male,Black or African-American,Never been married,High school graduate,Employed full-time,"9$100,000 to under $150,000",1,No,No,No,Got the book some other way,Yes,No
2327,20,Male,Black or African-American,Never been married,"Some college, no 4-year degree",Employed part-time,"$100,000 to under $150,000",1,No,Yes,No,Purchased the book,No,No
2328,19,Female,Black or African-American,Never been married,High school graduate,Student,"$30,000 to under $40,000",1,Yes,No,No,Purchased the book,Yes,Yes
2329,18,Female,Black or African-American,Never been married,High school incomplete,Employed part-time,"Less than $10,000",1,No,No,Yes,Borrowed the book from a library,No,Yes
2330,18,Male,Black or African-American,Living with a partner,High school graduate,Employed full-time,"$40,000 to under $50,000",1,Yes,No,No,Purchased the book,No,No
2331,17,Male,Black or African-American,Don’t know,High school incomplete,Employed part-time,"9$100,000 to under $150,000",1,Yes,No,No,Borrowed the book from a library,Yes,No
2332,16,Female,Black or African-American,Never been married,High school incomplete,Not employed for pay,Refused,1,No,No,No,Borrowed the book from a friend or family member,No,No
2333,16,Female,Black or African-American,Single,High school incomplete,Not employed for pay,"9$100,000 to under $150,000",1,Yes,No,No,Borrowed the book from a library,Yes,Yes
2334,85,Female,White,Widowed,High school graduate,Not employed for pay,"$50,000 to under $75,000",1,Yes,No,No,Purchased the book,Yes,Yes
2336,82,Male,White,Married,"Some college, no 4-year degree",Retired,"$50,000 to under $75,000",1,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
2337,82,Female,White,Married,High school graduate,Retired,"$10,000 to under $20,000",1,No,No,No,Got the book some other way,Yes,No
2338,81,Female,White,Widowed,High school incomplete,Retired,Refused,1,Yes,No,No,Got the book some other way,No,No
2339,81,Female,White,Married,High school graduate,Retired,"9$100,000 to under $150,000",1,Yes,No,No,Borrowed the book from a friend or family member,No,No
2340,79,Female,White,Single,"Some college, no 4-year degree",Retired,"9$100,000 to under $150,000",1,Yes,No,No,Got the book some other way,No,No
2343,72,Female,White,Married,High school graduate,Retired,"$20,000 to under $30,000",1,Yes,No,No,Purchased the book,Yes,No
2344,71,Female,White,Widowed,High school graduate,Retired,"Less than $10,000",1,Yes,No,No,Purchased the book,Yes,No
2345,71,Female,White,Married,High school graduate,Retired,"$20,000 to under $30,000",1,Yes,No,No,Got the book some other way,Yes,Yes
2346,67,Female,White,Married,High school graduate,Retired,"$20,000 to under $30,000",1,Yes,No,No,Borrowed the book from a friend or family member,No,No
2347,67,Male,White,Married,High school graduate,Retired,"$100,000 to under $150,000",1,Yes,Yes,No,Purchased the book,Yes,Yes
2348,67,Male,White,Married,"Some college, no 4-year degree",Employed part-time,"$20,000 to under $30,000",1,Yes,No,No,Purchased the book,No,Yes
2349,66,Female,White,Divorced,"Some college, no 4-year degree",Retired,"$10,000 to under $20,000",1,Yes,No,No,Borrowed the book from a friend or family member,Yes,No
2350,66,Female,White,Married,"Some college, no 4-year degree",Retired,"$100,000 to under $150,000",1,Yes,No,Yes,Purchased the book,Yes,No
2351,65,Female,White,Married,High school graduate,Retired,"$30,000 to under $40,000",1,Yes,No,No,Got the book some other way,Yes,Yes
2352,64,Female,White,Married,High school graduate,Not employed for pay,"$20,000 to under $30,000",1,Yes,No,No,Got the book some other way,Yes,Yes
2354,63,Male,White,Married,"Some college, no 4-year degree",Employed full-time,"$75,000 to under $100,000",1,No,No,No,Borrowed the book from a friend or family member,Yes,Yes
2356,62,Male,White,Married,"Some college, no 4-year degree",Retired,"$75,000 to under $100,000",1,Yes,No,No,Got the book some other way,Yes,No
2357,61,Female,White,Divorced,"Some college, no 4-year degree",Employed full-time,"$10,000 to under $20,000",1,Yes,No,No,Purchased the book,No,Yes
2359,61,Male,White,Married,High school graduate,Employed full-time,"$100,000 to under $150,000",1,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
2360,61,Male,White,Married,"Some college, no 4-year degree",Employed full-time,"$75,000 to under $100,000",1,No,Yes,Yes,Purchased the book,Yes,No
2361,60,Male,White,Married,High school graduate,Employed full-time,Refused,1,Yes,No,No,Purchased the book,Yes,No
2362,59,Female,White,Married,High school graduate,Not employed for pay,"$50,000 to under $75,000",1,No,Yes,No,Purchased the book,No,No
2365,58,Female,White,Married,"Some college, no 4-year degree",Not employed for pay,"$20,000 to under $30,000",1,Yes,No,No,Got the book some other way,Yes,No
2366,58,Female,White,Single,High school graduate,Employed full-time,"$10,000 to under $20,000",1,Yes,No,No,Got the book some other way,No,No
2367,57,Female,White,Married,High school incomplete,Employed full-time,"$20,000 to under $30,000",1,No,Yes,No,Borrowed the book from a library,Yes,No
2368,56,Male,White,Married,High school graduate,Employed full-time,"$40,000 to under $50,000",1,Yes,No,No,Borrowed the book from a friend or family member,No,No
2369,55,Male,White,Married,"Some college, no 4-year degree",Employed full-time,"$50,000 to under $75,000",1,Yes,No,No,Borrowed the book from a library,Yes,No
2371,54,Female,White,Single,"Some college, no 4-year degree",Disabled,"9$100,000 to under $150,000",1,No,No,No,8,No,No
2373,53,Male,White,Divorced,"Some college, no 4-year degree",Employed full-time,"$100,000 to under $150,000",1,No,No,No,Borrowed the book from a friend or family member,No,No
2374,53,Male,White,Never been married,High school incomplete,Retired,"$10,000 to under $20,000",1,Yes,Yes,No,Borrowed the book from a library,No,Yes
2375,53,Male,White,Married,"Some college, no 4-year degree",Employed full-time,"$100,000 to under $150,000",1,Yes,No,No,Purchased the book,Yes,No
2376,53,Female,White,Divorced,High school graduate,Not employed for pay,"Less than $10,000",1,Yes,Yes,No,Purchased the book,No,No
2377,53,Male,White,Married,"Some college, no 4-year degree",Employed full-time,"$40,000 to under $50,000",1,Yes,No,No,Got the book some other way,Yes,Yes
2379,50,Female,White,Married,"Some college, no 4-year degree",Employed full-time,Refused,1,Yes,No,No,Borrowed the book from a friend or family member,Yes,No
2380,50,Male,White,Married,"Some college, no 4-year degree",Employed full-time,"$100,000 to under $150,000",1,Yes,No,Don’t know,Borrowed the book from a friend or family member,Yes,Yes
2381,49,Male,White,Married,"Some college, no 4-year degree",Employed full-time,"$75,000 to under $100,000",1,Yes,No,No,Purchased the book,Yes,Yes
2382,49,Male,White,Never been married,High school graduate,Employed full-time,Refused,1,No,No,No,9,Yes,No
2383,49,Female,White,Living with a partner,High school graduate,Have own business/self-employed,Refused,1,Yes,No,No,Borrowed the book from a friend or family member,No,No
2384,49,Male,White,Divorced,"Some college, no 4-year degree",Employed full-time,"$30,000 to under $40,000",1,Yes,No,No,8,No,No
2385,48,Male,White,Married,High school graduate,Employed full-time,"$10,000 to under $20,000",1,Yes,Yes,No,Borrowed the book from a library,Yes,No
2386,47,Female,White,Divorced,High school incomplete,Not employed for pay,"Less than $10,000",1,Yes,No,No,Borrowed the book from a library,Yes,No
2387,46,Female,White,Living with a partner,High school graduate,Employed full-time,"$50,000 to under $75,000",1,Yes,No,No,8,Yes,Yes
2394,42,Female,White,Divorced,High school graduate,Employed part-time,"$10,000 to under $20,000",1,Yes,No,No,Purchased the book,Yes,No
2395,41,Male,White,Married,"Some college, no 4-year degree",Employed full-time,Refused,1,Yes,No,No,Purchased the book,No,No
2398,39,Female,White,Married,"Some college, no 4-year degree",Employed part-time,"$30,000 to under $40,000",1,Yes,Yes,No,Purchased the book,Yes,Yes
2399,38,Male,White,Married,"Some college, no 4-year degree",Employed full-time,"$50,000 to under $75,000",1,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
2400,38,Male,White,Married,"Some college, no 4-year degree",Employed full-time,Refused,1,Yes,No,No,Got the book some other way,No,No
2401,38,Female,White,Married,High school graduate,Employed full-time,Refused,1,Yes,No,No,Purchased the book,No,Yes
2402,37,Male,White,Divorced,High school graduate,Employed part-time,"Less than $10,000",1,Yes,No,No,Borrowed the book from a friend or family member,No,No
2405,35,Male,White,Divorced,"Some college, no 4-year degree",Not employed for pay,"Less than $10,000",1,Yes,Yes,Yes,Borrowed the book from a library,No,No
2406,33,Female,White,Never been married,"Some college, no 4-year degree",Employed full-time,"$50,000 to under $75,000",1,Yes,No,No,Borrowed the book from a library,No,No
2408,32,Female,White,Married,"Some college, no 4-year degree",Employed full-time,"$40,000 to under $50,000",1,Yes,No,No,Borrowed the book from a library,No,No
2409,32,Female,White,Married,High school graduate,Not employed for pay,"$50,000 to under $75,000",1,Yes,No,No,Purchased the book,No,Yes
2411,31,Male,White,Never been married,High school graduate,Not employed for pay,"$30,000 to under $40,000",1,Yes,No,No,Purchased the book,Yes,No
2412,31,Male,White,Married,High school graduate,Not employed for pay,"$30,000 to under $40,000",1,Yes,No,No,Purchased the book,No,No
2413,31,Male,White,Living with a partner,High school graduate,Employed full-time,"$20,000 to under $30,000",1,Yes,No,No,Borrowed the book from a library,No,No
2415,30,Male,White,Married,High school graduate,Employed full-time,"$50,000 to under $75,000",1,No,No,Yes,Got the book some other way,No,No
2416,30,Female,White,Never been married,"Some college, no 4-year degree",Employed full-time,"$10,000 to under $20,000",1,Yes,No,Yes,Borrowed the book from a friend or family member,Yes,No
2417,30,Male,White,Living with a partner,"Some college, no 4-year degree",Employed full-time,"$50,000 to under $75,000",1,Yes,No,No,Purchased the book,Yes,Yes
2419,29,Male,White,Married,"Some college, no 4-year degree",Employed full-time,"$50,000 to under $75,000",1,Yes,No,No,Got the book some other way,Yes,Yes
2421,27,Female,White,Married,High school graduate,Not employed for pay,"Less than $10,000",1,No,No,No,Got the book some other way,No,No
2423,27,Female,White,Married,"Some college, no 4-year degree",Employed part-time,"$50,000 to under $75,000",1,No,Yes,Yes,Purchased the book,Yes,No
2424,26,Male,White,Married,"Some college, no 4-year degree",Employed full-time,"$50,000 to under $75,000",1,Yes,No,No,Got the book some other way,No,No
2426,25,Female,White,Never been married,"Some college, no 4-year degree",Employed part-time,"$10,000 to under $20,000",1,Yes,No,No,Purchased the book,No,No
2428,24,Male,White,Never been married,High school graduate,Employed full-time,"9$100,000 to under $150,000",1,Yes,No,No,Borrowed the book from a friend or family member,No,Yes
2429,23,Male,White,Married,High school graduate,Employed full-time,"$10,000 to under $20,000",1,Yes,Yes,No,Purchased the book,No,No
2430,22,Female,White,Living with a partner,"Some college, no 4-year degree",Employed full-time,"9$100,000 to under $150,000",1,Yes,No,No,Borrowed the book from a friend or family member,No,Yes
2431,22,Male,White,Divorced,High school graduate,Employed full-time,"$100,000 to under $150,000",1,No,Yes,Don’t know,Got the book some other way,Yes,Yes
2432,21,Male,White,Never been married,High school graduate,Not employed for pay,"$30,000 to under $40,000",1,Yes,No,No,Got the book some other way,No,No
2433,19,Male,White,Never been married,High school graduate,Employed part-time,"$100,000 to under $150,000",1,Yes,No,No,Got the book some other way,No,Yes
2434,18,Male,White,Never been married,High school graduate,Not employed for pay,"$50,000 to under $75,000",1,Don’t know,No,No,Borrowed the book from a library,No,No
2435,17,Male,White,Never been married,High school incomplete,Not employed for pay,"$50,000 to under $75,000",1,Yes,No,No,Borrowed the book from a library,No,Yes
2436,17,Female,White,Never been married,High school graduate,Not employed for pay,"$20,000 to under $30,000",1,Yes,No,No,Borrowed the book from a friend or family member,No,No
2437,16,Female,White,Never been married,High school incomplete,Not employed for pay,"$30,000 to under $40,000",1,Yes,No,No,Purchased the book,No,No
2438,16,Female,White,Never been married,High school incomplete,Not employed for pay,"Less than $10,000",1,Yes,No,No,Borrowed the book from a library,No,No
2439,16,Male,White,Never been married,High school incomplete,Not employed for pay,"9$100,000 to under $150,000",1,No,No,No,Got the book some other way,Yes,No
2440,16,Female,White,Never been married,High school incomplete,Employed part-time,"9$100,000 to under $150,000",1,Yes,No,No,Borrowed the book from a friend or family member,No,Yes
2441,16,Female,White,Never been married,High school incomplete,Not employed for pay,"$10,000 to under $20,000",1,Yes,No,No,Borrowed the book from a library,No,No
2442,69,Male,Refused,Married,High school graduate,Retired,Refused,0,,,,,Yes,No
2444,72,Male,Other,Married,High school graduate,Retired,"$30,000 to under $40,000",0,,,,,Yes,No
2447,61,Male,Other,Married,"Some college, no 4-year degree",Not employed for pay,"Less than $10,000",0,,,,,No,No
2448,59,Female,Other,Divorced,"Some college, no 4-year degree",Not employed for pay,"9$100,000 to under $150,000",0,,,,,No,No
2449,39,Male,Other,Living with a partner,High school graduate,Employed full-time,"$30,000 to under $40,000",0,,,,,Yes,Yes
2450,28,Male,Other,Single,High school graduate,Employed full-time,"$100,000 to under $150,000",0,,,,,No,No
2451,24,Male,Other,Never been married,"Some college, no 4-year degree",Employed part-time,"$30,000 to under $40,000",0,,,,,Yes,No
2452,22,Male,Other,Married,High school graduate,Employed full-time,"$10,000 to under $20,000",0,,,,,No,Yes
2453,17,Male,Other,Never been married,High school incomplete,Not employed for pay,"$40,000 to under $50,000",0,,,,,No,Yes
2454,67,Male,Native American/American Indian,Divorced,"Some college, no 4-year degree",Retired,"$20,000 to under $30,000",0,,,,,No,No
2455,58,Male,Native American/American Indian,Divorced,High school graduate,Disabled,"$10,000 to under $20,000",0,,,,,Yes,Yes
2456,56,Male,Native American/American Indian,Single,High school graduate,Not employed for pay,"Less than $10,000",0,,,,,Yes,No
2457,54,Female,Native American/American Indian,Divorced,"Some college, no 4-year degree",Employed full-time,"$20,000 to under $30,000",0,,,,,Yes,Yes
2458,54,Male,Native American/American Indian,Divorced,"Some college, no 4-year degree",Employed full-time,"$50,000 to under $75,000",0,,,,,No,No
2460,19,Male,Native American/American Indian,Living with a partner,High school graduate,Not employed for pay,"$20,000 to under $30,000",0,,,,,No,No
2461,70,Male,Mixed race,Married,High school incomplete,Retired,Refused,0,,,,,No,No
2462,68,Female,Mixed race,Married,High school graduate,Retired,"9$100,000 to under $150,000",0,,,,,Yes,Yes
2463,58,Female,Mixed race,Married,"Some college, no 4-year degree",Retired,"$20,000 to under $30,000",0,,,,,No,No
2466,35,Male,Mixed race,Separated,High school graduate,Employed full-time,"$20,000 to under $30,000",0,,,,,Yes,No
2467,30,Female,Mixed race,Married,High school graduate,Employed full-time,"$30,000 to under $40,000",0,,,,,No,No
2469,62,Female,Asian or Pacific Islander,Divorced,High school incomplete,Employed full-time,"$10,000 to under $20,000",0,,,,,No,No
2473,29,Female,Asian or Pacific Islander,Married,"Some college, no 4-year degree",Employed full-time,"$50,000 to under $75,000",0,,,,,Yes,Yes
2474,27,Female,Asian or Pacific Islander,Married,High school graduate,Employed part-time,"$30,000 to under $40,000",0,,,,,No,No
2475,23,Female,Asian or Pacific Islander,Married,High school graduate,Not employed for pay,"$20,000 to under $30,000",0,,,,,No,No
2476,18,Male,Asian or Pacific Islander,Never been married,"Some college, no 4-year degree",Not employed for pay,Refused,0,,,,,No,No
2480,73,Female,Black or African-American,Single,"Some college, no 4-year degree",Retired,Refused,0,,,,,Yes,No
2481,70,Male,Black or African-American,Married,High school incomplete,Disabled,"$10,000 to under $20,000",0,,,,,No,No
2482,69,Female,Black or African-American,Married,"Some college, no 4-year degree",Employed part-time,"$50,000 to under $75,000",0,,,,,Yes,No
2483,69,Male,Black or African-American,Married,High school incomplete,Disabled,"$10,000 to under $20,000",0,,,,,Yes,No
2484,69,Male,Black or African-American,Widowed,High school graduate,Retired,"Less than $10,000",0,,,,,No,No
2485,67,Male,Black or African-American,Married,High school graduate,Disabled,"$10,000 to under $20,000",0,,,,,Yes,No
2486,67,Female,Black or African-American,Married,High school graduate,Retired,"$30,000 to under $40,000",0,,,,,No,No
2487,66,Female,Black or African-American,Never been married,High school graduate,Disabled,"Less than $10,000",0,,,,,Yes,No
2488,66,Male,Black or African-American,Divorced,High school graduate,Retired,"$30,000 to under $40,000",0,,,,,Yes,No
2490,65,Female,Black or African-American,Widowed,High school graduate,Retired,"$10,000 to under $20,000",0,,,,,No,No
2491,64,Male,Black or African-American,Married,High school graduate,Disabled,"9$100,000 to under $150,000",0,,,,,Yes,No
2492,63,Male,Black or African-American,Never been married,High school graduate,Not employed for pay,Refused,0,,,,,Yes,No
2493,62,Female,Black or African-American,Separated,High school graduate,Not employed for pay,"9$100,000 to under $150,000",0,,,,,No,No
2494,62,Male,Black or African-American,Widowed,High school incomplete,Not employed for pay,"$10,000 to under $20,000",0,,,,,Yes,No
2495,60,Male,Black or African-American,Divorced,"Some college, no 4-year degree",Employed part-time,"9$100,000 to under $150,000",0,,,,,No,No
2497,57,Female,Black or African-American,Married,High school graduate,Employed full-time,"$50,000 to under $75,000",0,,,,,Yes,No
2498,56,Male,Black or African-American,Living with a partner,High school graduate,Retired,"Less than $10,000",0,,,,,Yes,Yes
2500,55,Male,Black or African-American,Divorced,High school graduate,Employed full-time,"9$100,000 to under $150,000",0,,,,,Yes,No
2501,54,Female,Black or African-American,Married,"Some college, no 4-year degree",Employed full-time,"$10,000 to under $20,000",0,,,,,Yes,Yes
2503,52,Male,Black or African-American,Married,High school graduate,Employed full-time,"Less than $10,000",0,,,,,Yes,Yes
2504,51,Female,Black or African-American,Divorced,High school incomplete,Not employed for pay,"Less than $10,000",0,,,,,No,No
2508,50,Male,Black or African-American,Divorced,High school incomplete,Not employed for pay,"9$100,000 to under $150,000",0,,,,,No,No
2510,49,Male,Black or African-American,Never been married,High school graduate,Not employed for pay,"Less than $10,000",0,,,,,Yes,Yes
2511,48,Male,Black or African-American,Married,High school incomplete,Employed full-time,"$10,000 to under $20,000",0,,,,,No,No
2512,47,Male,Black or African-American,Married,"Some college, no 4-year degree",Employed full-time,"$40,000 to under $50,000",0,,,,,Yes,No
2513,46,Female,Black or African-American,Married,"Some college, no 4-year degree",Employed full-time,Refused,0,,,,,Yes,No
2514,46,Male,Black or African-American,Married,"Some college, no 4-year degree",Have own business/self-employed,"$100,000 to under $150,000",0,,,,,Yes,No
2515,45,Female,Black or African-American,Married,High school graduate,Employed full-time,"$10,000 to under $20,000",0,,,,,No,No
2516,44,Male,Black or African-American,Living with a partner,High school graduate,Employed full-time,"$50,000 to under $75,000",0,,,,,Yes,No
2517,42,Male,Black or African-American,Never been married,High school graduate,Not employed for pay,"$10,000 to under $20,000",0,,,,,No,No
2518,42,Male,Black or African-American,Married,"Some college, no 4-year degree",Employed full-time,"$30,000 to under $40,000",0,,,,,Yes,No
2519,41,Male,Black or African-American,Separated,High school graduate,Other,"$10,000 to under $20,000",0,,,,,No,No
2520,40,Female,Black or African-American,Living with a partner,"Some college, no 4-year degree",Not employed for pay,"$20,000 to under $30,000",0,,,,,Yes,Yes
2521,39,Male,Black or African-American,Separated,High school graduate,Not employed for pay,"9$100,000 to under $150,000",0,,,,,No,No
2522,35,Female,Black or African-American,Married,"Some college, no 4-year degree",Employed full-time,"$75,000 to under $100,000",0,,,,,Yes,Yes
2526,33,Female,Black or African-American,Separated,High school graduate,Employed part-time,"Less than $10,000",0,,,,,No,No
2527,32,Female,Black or African-American,Married,"Some college, no 4-year degree",Employed full-time,"$30,000 to under $40,000",0,,,,,No,No
2528,31,Female,Black or African-American,Married,"Some college, no 4-year degree",Employed full-time,"$40,000 to under $50,000",0,,,,,No,No
2529,31,Male,Black or African-American,Never been married,High school graduate,Employed part-time,"9$100,000 to under $150,000",0,,,,,Yes,No
2530,30,Male,Black or African-American,Married,"Some college, no 4-year degree",Employed full-time,"$40,000 to under $50,000",0,,,,,No,No
2531,29,Female,Black or African-American,Separated,High school incomplete,Not employed for pay,"$10,000 to under $20,000",0,,,,,No,Yes
2532,29,Female,Black or African-American,Divorced,"Some college, no 4-year degree",Employed part-time,"Less than $10,000",0,,,,,No,No
2533,28,Male,Black or African-American,Married,High school graduate,Employed full-time,Refused,0,,,,,Yes,No
